iter	RMSE
548	9427.739541
549	9423.490213
550	9410.964732
551	9408.504732
552	9404.648452
553	9400.096324
554	9391.678752
555	9383.371458
556	9375.635256
557	9367.675604
558	9361.846662
559	9354.282939
560	9346.573199
561	9337.391757
562	9331.17467
563	9314.687438
564	9312.363028
565	9308.010767
566	9304.611298
567	9304.29238
568	9292.523978
569	9282.235436
570	9272.198237
571	9261.07967
572	9260.818702
573	9249.443568
574	9246.320352
575	9237.747235
576	9235.408939
577	9230.852654
578	9228.687058
579	9223.751125
580	9217.967583
581	9215.141683
582	9204.631546
583	9203.693031
584	9203.45588
585	9200.997325
586	9194.907824
587	9187.617113
588	9178.111761
589	9177.242578
590	9175.244603
591	9168.94222
592	9162.887731
593	9155.351863
594	9146.679583
595	9137.083646
596	9129.748336
597	9129.502961
598	9122.036184
599	9121.126124
600	9114.272848
601	9109.068631
602	9102.208831
603	9096.150958
604	9088.082467
605	9079.900399
606	9071.124885
607	9070.850629
608	9063.97397
609	9061.196512
610	9047.890618
611	9047.20425
612	9045.35362
613	9042.532281
614	9035.829419
615	9033.200774
616	9032.947717
617	9024.727972
618	9022.544462
619	9018.920023
620	9016.375518
621	9013.872944
622	9000.885016
623	8993.076688
624	8984.039186
625	8973.851743
626	8972.027148
627	8969.605781
628	8969.361421
629	8958.322357
630	8954.418101
631	8954.20968
632	8947.854328
633	8939.463131
634	8938.824252
635	8932.708079
636	8924.841118
637	8917.27465
638	8916.077221
639	8908.182
640	8897.140884
641	8891.597509
642	8891.36598
643	8883.70293
644	8877.880974
645	8877.659904
646	8871.521128
647	8870.168435
648	8864.521917
649	8858.80341
650	8853.03309
651	8850.098536
652	8847.903702
653	8840.202679
654	8833.057977
655	8827.220623
656	8822.294271
657	8820.14855
658	8811.890119
659	8806.035744
660	8805.759939
661	8803.670749
662	8803.462388
663	8801.90055
664	8797.811928
665	8793.701268
666	8793.545069
667	8793.374377
668	8787.466021
669	8783.551343
670	8773.84411
671	8771.805234
672	8766.05933
673	8758.662998
674	8752.856287
675	8749.731795
676	8741.991621
677	8732.630295
678	8728.466353
679	8719.926918
680	8714.062185
681	8709.896449
682	8701.907141
683	8696.518809
684	8692.982697
685	8688.632362
686	8684.012622
687	8682.026165
688	8679.606426
689	8671.416476
690	8668.487501
691	8663.0792
692	8662.886927
693	8657.443853
694	8655.553793
695	8649.650076
696	8646.317314
697	8640.929685
698	8637.682025
699	8629.498849
700	8624.330631
701	8621.634966
702	8618.352513
703	8615.89895
704	8611.730477
705	8608.223454
706	8601.480098
707	8599.626535
708	8593.206074
709	8589.836522
710	8586.118045
711	8583.71418
712	8580.962396
713	8577.618108
714	8575.357974
715	8572.028967
716	8566.375686
717	8564.278447
718	8556.874079
719	8547.905078
720	8543.102016
721	8534.664325
722	8528.283794
723	8521.265326
724	8519.300818
725	8514.520628
726	8513.140996
727	8508.408207
728	8502.716792
729	8502.54521
730	8500.645406
731	8493.716917
732	8488.313667
733	8481.951216
734	8477.091532
735	8474.954462
736	8471.528595
737	8462.449531
738	8460.397375
739	8454.778409
740	8448.07832
741	8441.154799
742	8436.135142
743	8434.331195
744	8429.387251
745	8421.042138
746	8416.592942
747	8411.436216
748	8410.216436
749	8399.3631
750	8394.66393
751	8389.199073
752	8382.989412
753	8378.439017
754	8374.772427
755	8367.827286
756	8366.120215
757	8363.907848
758	8353.370141
759	8347.634031
760	8342.695695
761	8338.499639
762	8338.314826
763	8332.971351
764	8332.44787
765	8329.576311
766	8327.748452
767	8320.669295
768	8319.579491
769	8318.0519
770	8314.761188
771	8305.774977
772	8305.597417
773	8302.586941
774	8300.118626
775	8294.56312
776	8284.014794
777	8278.243301
778	8272.302012
779	8270.832534
780	8270.486431
781	8261.921371
782	8258.201342
783	8251.821475
784	8246.886798
785	8246.712703
786	8242.459222
787	8240.603193
788	8237.443653
789	8234.309419
790	8230.028616
791	8226.71546
792	8225.054383
793	8223.472364
794	8220.33328
795	8218.956057
796	8218.78872
797	8210.106292
798	8200.956384
799	8200.792156
800	8199.251428
801	8192.589994
802	8186.515545
803	8184.35514
804	8181.218418
805	8181.030378
806	8177.423048
807	8173.604049
808	8172.20654
809	8172.042182
810	8163.839435
811	8163.678868
812	8158.68278
813	8157.378226
814	8151.024787
815	8150.881041
816	8140.28344
817	8132.67098
818	8132.53062
819	8127.517255
820	8126.68378
821	8122.812143
822	8122.674411
823	8116.021529
824	8115.887716
825	8112.546246
826	8112.404257
827	8107.980328
828	8106.725285
829	8103.505956
830	8098.491555
831	8093.406565
832	8086.531816
833	8082.757225
834	8081.540679
835	8076.805472
836	8071.219139
837	8066.680209
838	8066.552081
839	8064.461033
840	8062.804902
841	8056.000513
842	8049.745215
843	8041.841719
844	8040.618697
845	8034.20332
846	8031.809333
847	8031.685177
848	8028.352467
849	8027.068644
850	8025.208624
851	8017.673647
852	8010.362256
853	8007.175466
854	8002.005897
855	8001.886169
856	7990.066438
857	7989.945654
858	7987.951111
859	7983.316941
860	7978.697066
861	7975.979798
862	7970.521173
863	7966.241501
864	7958.822431
865	7952.393471
866	7948.639423
867	7943.94376
868	7935.488892
869	7924.067034
870	7913.129391
871	7907.212687
872	7903.190334
873	7899.058429
874	7893.317477
875	7886.091338
876	7882.64048
877	7880.431848
878	7878.013833
879	7874.842801
880	7870.311987
881	7868.93687
882	7867.44214
883	7862.209631
884	7860.422603
885	7856.608955
886	7853.099186
887	7850.286684
888	7848.401205
889	7843.494052
890	7837.522109
891	7828.319204
892	7824.185744
893	7818.789442
894	7812.026426
895	7810.205128
896	7805.685064
897	7801.739857
898	7798.359066
899	7793.689442
900	7790.660778
901	7789.369819
902	7785.053378
903	7777.492241
904	7772.343719
905	7767.620683
906	7759.654983
907	7756.916466
908	7749.5278
909	7746.688924
910	7742.482401
911	7736.762409
912	7732.680716
913	7730.808583
914	7726.135183
915	7721.86969
916	7719.661291
917	7719.543384
918	7719.436657
919	7719.324068
920	7719.222239
921	7713.990105
922	7712.851324
923	7711.140026
924	7707.815092
925	7702.518048
926	7697.102
927	7687.705231
928	7676.367666
929	7672.639942
930	7670.908737
931	7668.118903
932	7668.018316
933	7665.949048
934	7660.778307
935	7656.145644
936	7655.132624
937	7648.497237
938	7643.425599
939	7639.163305
940	7636.161067
941	7633.369493
942	7629.911336
943	7627.067441
944	7626.960081
945	7625.975654
946	7620.574438
947	7617.438405
948	7614.465611
949	7609.844814
950	7604.690895
951	7602.638407
952	7597.928951
953	7592.548433
954	7590.83043
955	7587.936762
956	7583.23134
957	7579.616788
958	7571.479299
959	7571.377568
960	7567.792698
961	7563.026344
962	7562.923175
963	7557.210538
964	7557.115422
965	7554.772539
966	7554.670803
967	7548.995451
968	7546.349422
969	7543.525275
970	7540.536894
971	7533.082471
972	7531.897798
973	7529.011492
974	7524.989031
975	7523.185101
976	7518.677249
977	7515.962038
978	7512.746375
979	7507.491377
980	7505.025766
981	7501.17604
982	7500.015654
983	7499.033983
984	7497.877296
985	7495.973869
986	7490.177098
987	7488.556506
988	7484.102685
989	7479.278454
990	7469.948699
991	7466.638963
992	7462.30201
993	7458.677264
994	7453.34638
995	7453.262369
996	7452.248949
997	7451.187575
998	7449.36001
999	7449.251771
