iter	Passed	Remaining
250	635	1897
251	638	1894
252	640	1892
253	643	1890
254	645	1886
255	648	1883
256	650	1881
257	652	1877
258	655	1875
259	658	1874
260	661	1871
261	663	1868
262	665	1865
263	668	1862
264	674	1870
265	676	1867
266	681	1871
267	684	1868
268	687	1867
269	690	1865
270	692	1862
271	695	1860
272	697	1857
273	699	1854
274	703	1854
275	705	1851
276	708	1848
277	710	1845
278	712	1842
279	715	1839
280	718	1838
281	720	1835
282	723	1832
283	725	1828
284	727	1825
285	730	1822
286	732	1820
287	735	1818
288	737	1815
289	740	1812
290	742	1809
291	745	1806
292	747	1803
293	750	1801
294	752	1798
295	754	1795
296	756	1791
297	759	1788
298	761	1785
299	764	1784
300	767	1781
301	769	1779
302	772	1775
303	774	1774
304	777	1770
305	780	1769
306	782	1767
307	785	1763
308	787	1760
309	789	1757
310	791	1754
311	794	1752
312	797	1749
313	799	1747
314	802	1745
315	805	1743
316	807	1740
317	810	1739
318	813	1736
319	815	1733
320	818	1731
321	820	1728
322	835	1750
323	837	1748
324	844	1752
325	847	1752
326	850	1749
327	852	1747
328	855	1743
329	863	1753
330	867	1752
331	871	1753
332	874	1752
333	878	1751
334	881	1749
335	885	1749
336	887	1746
337	890	1743
338	892	1740
339	894	1736
340	897	1733
341	899	1731
342	902	1728
343	904	1725
344	907	1722
345	909	1719
346	912	1716
347	914	1713
348	917	1711
349	919	1707
350	921	1704
351	923	1700
352	926	1697
353	928	1694
354	931	1692
355	934	1689
356	936	1686
357	939	1683
358	941	1680
359	943	1677
360	945	1673
361	948	1671
362	951	1668
363	953	1665
364	955	1662
365	957	1658
366	960	1655
367	963	1653
368	965	1650
369	967	1647
370	970	1644
371	972	1641
372	974	1638
373	976	1634
374	979	1632
375	981	1629
376	984	1626
377	986	1623
378	988	1619
379	990	1616
380	993	1614
381	996	1612
382	998	1608
383	1001	1605
384	1003	1602
385	1005	1599
386	1008	1597
387	1011	1594
388	1013	1591
389	1015	1588
390	1017	1584
391	1019	1581
392	1022	1578
393	1025	1576
394	1027	1573
395	1029	1570
396	1032	1567
397	1034	1564
398	1036	1561
399	1039	1558
400	1041	1555
401	1044	1553
402	1046	1549
403	1049	1547
404	1051	1544
405	1054	1542
406	1056	1539
407	1058	1536
408	1060	1533
409	1063	1529
410	1065	1526
411	1067	1523
412	1070	1521
413	1072	1518
414	1074	1514
415	1077	1512
416	1081	1512
417	1083	1509
418	1086	1506
419	1088	1503
420	1093	1503
421	1095	1501
422	1098	1497
423	1100	1495
424	1103	1492
425	1105	1489
426	1107	1486
427	1110	1483
428	1112	1480
429	1114	1477
430	1116	1474
431	1119	1471
432	1121	1469
433	1124	1466
434	1126	1463
435	1128	1460
436	1131	1457
437	1133	1454
438	1136	1452
439	1139	1449
440	1141	1446
441	1143	1444
442	1147	1442
443	1149	1439
444	1152	1437
445	1154	1434
446	1156	1431
447	1159	1428
448	1167	1432
449	1169	1429
450	1171	1426
451	1174	1423
452	1177	1422
453	1180	1419
454	1183	1417
455	1185	1414
456	1187	1411
457	1190	1408
458	1193	1406
459	1196	1404
460	1199	1402
461	1201	1399
462	1203	1396
463	1206	1393
464	1209	1391
465	1212	1389
466	1214	1386
467	1216	1383
468	1219	1380
469	1222	1378
470	1224	1375
471	1227	1373
472	1230	1370
473	1232	1367
474	1234	1364
475	1237	1362
476	1239	1359
477	1242	1357
478	1244	1354
479	1247	1351
480	1249	1348
481	1251	1345
482	1255	1343
483	1258	1341
484	1260	1338
485	1262	1335
486	1265	1332
487	1268	1330
488	1270	1328
489	1273	1325
490	1275	1322
491	1277	1319
492	1280	1316
493	1282	1313
494	1285	1311
495	1287	1308
496	1289	1305
497	1298	1308
498	1301	1306
499	1303	1303
500	1305	1300
501	1308	1298
502	1311	1295
503	1315	1294
504	1317	1291
505	1321	1289
506	1323	1287
507	1326	1284
508	1329	1282
509	1332	1279
510	1334	1277
511	1337	1274
512	1340	1272
513	1350	1277
514	1354	1275
515	1358	1274
516	1365	1275
517	1382	1286
518	1385	1284
519	1390	1283
520	1393	1280
521	1396	1278
522	1398	1275
523	1410	1281
524	1414	1279
525	1417	1277
526	1426	1280
527	1432	1280
528	1437	1279
529	1440	1277
530	1443	1274
531	1449	1275
532	1457	1277
533	1466	1279
534	1478	1284
535	1482	1283
536	1486	1281
537	1489	1279
538	1497	1280
539	1504	1281
540	1510	1281
541	1516	1281
542	1527	1285
543	1532	1284
544	1536	1282
545	1542	1282
546	1545	1280
547	1548	1277
548	1551	1274
549	1554	1272
550	1557	1269
551	1560	1266
552	1563	1263
553	1565	1260
554	1567	1257
555	1571	1254
556	1575	1253
557	1578	1250
558	1581	1247
559	1584	1245
560	1587	1242
561	1589	1239
562	1592	1236
563	1594	1232
564	1597	1229
565	1601	1227
566	1604	1225
567	1606	1222
568	1609	1219
569	1611	1215
570	1614	1213
571	1617	1210
572	1619	1206
573	1621	1203
574	1624	1200
575	1627	1197
576	1631	1195
577	1634	1193
578	1637	1190
579	1639	1187
580	1641	1184
581	1644	1180
582	1646	1177
583	1649	1174
584	1651	1171
585	1653	1168
586	1655	1165
587	1658	1161
588	1660	1158
589	1663	1155
590	1665	1152
591	1667	1149
592	1669	1146
593	1672	1142
594	1674	1139
595	1677	1136
596	1679	1133
597	1681	1130
598	1683	1127
599	1686	1124
600	1688	1120
601	1691	1118
602	1693	1114
603	1695	1111
604	1698	1108
605	1700	1105
606	1702	1102
607	1704	1099
608	1707	1096
609	1709	1093
610	1712	1090
611	1714	1086
612	1716	1083
613	1718	1080
614	1721	1077
615	1723	1074
616	1725	1071
617	1728	1068
618	1730	1065
619	1732	1062
620	1735	1058
621	1737	1055
622	1739	1052
623	1742	1049
624	1744	1046
625	1746	1043
626	1749	1040
627	1751	1037
628	1754	1034
629	1756	1031
630	1759	1028
631	1761	1025
632	1763	1022
633	1765	1019
634	1769	1016
635	1771	1013
636	1773	1010
637	1776	1007
638	1778	1004
639	1780	1001
640	1783	998
641	1785	995
642	1788	992
643	1790	989
644	1792	986
645	1794	983
646	1797	980
647	1799	977
648	1802	974
649	1804	971
650	1806	968
651	1809	965
652	1811	962
653	1813	959
654	1816	956
655	1818	953
656	1821	950
657	1823	947
658	1825	944
659	1827	941
660	1830	938
661	1832	935
662	1834	932
663	1837	929
664	1839	926
665	1841	923
666	1843	920
667	1846	917
668	1848	914
669	1851	911
670	1853	908
671	1855	905
672	1858	902
673	1860	900
674	1863	897
675	1865	894
676	1868	891
677	1870	888
678	1872	885
679	1875	882
680	1877	879
681	1880	876
682	1882	873
683	1884	870
684	1887	867
685	1889	864
686	1892	862
687	1894	859
688	1897	856
689	1899	853
690	1902	850
691	1904	847
692	1907	844
693	1909	841
694	1912	839
695	1914	836
696	1917	833
697	1919	830
698	1922	827
699	1924	824
700	1927	822
701	1929	819
702	1932	816
703	1934	813
704	1937	810
705	1939	807
706	1942	804
707	1944	801
708	1946	798
709	1948	796
710	1951	793
711	1954	790
712	1957	787
713	1959	784
714	1961	782
715	1964	779
716	1966	776
717	1969	773
718	1972	770
719	1974	768
720	1977	765
721	1979	762
722	1981	759
723	1984	756
724	1987	753
725	1989	750
726	1992	748
727	1994	745
728	1997	742
729	2000	739
730	2002	737
731	2005	734
732	2008	731
733	2010	728
734	2013	725
735	2016	723
736	2019	720
737	2021	717
738	2024	714
739	2026	712
740	2029	709
741	2032	706
742	2035	704
743	2040	702
744	2042	699
745	2046	696
746	2049	693
747	2051	691
748	2053	688
749	2056	685
750	2058	682
751	2062	680
752	2065	677
753	2067	674
754	2069	671
755	2072	668
756	2075	666
757	2077	663
758	2081	660
759	2083	657
760	2086	655
761	2088	652
762	2091	649
763	2094	646
764	2096	644
765	2099	641
766	2101	638
767	2104	635
768	2107	633
769	2109	630
770	2112	627
771	2115	624
772	2120	622
773	2126	620
774	2128	618
775	2131	615
776	2143	615
777	2148	613
778	2151	610
779	2154	607
780	2156	604
781	2158	601
782	2161	599
783	2163	596
784	2166	593
785	2169	590
786	2171	587
787	2173	584
788	2175	581
789	2178	579
790	2181	576
791	2183	573
792	2185	570
793	2187	567
794	2190	564
795	2192	561
796	2194	559
797	2198	556
798	2200	553
799	2203	550
800	2205	547
801	2207	545
802	2210	542
803	2213	539
804	2215	536
805	2217	533
806	2222	531
807	2237	531
808	2244	529
809	2249	527
810	2253	525
811	2262	523
812	2266	521
813	2269	518
814	2277	517
815	2284	515
816	2291	513
817	2294	510
818	2299	508
819	2302	505
820	2309	503
821	2314	501
822	2316	498
823	2320	495
824	2322	492
825	2326	490
826	2330	487
827	2342	486
828	2345	483
829	2347	480
830	2350	478
831	2353	475
832	2355	472
833	2357	469
834	2360	466
835	2362	463
836	2365	460
837	2367	457
838	2369	454
839	2372	451
840	2375	449
841	2377	446
842	2380	443
843	2383	440
844	2385	437
845	2387	434
846	2390	431
847	2392	428
848	2394	425
849	2397	423
850	2400	420
851	2402	417
852	2405	414
853	2407	411
854	2409	408
855	2413	405
856	2415	403
857	2417	400
858	2419	397
859	2422	394
860	2424	391
861	2427	388
862	2430	385
863	2432	382
864	2434	380
865	2437	377
866	2439	374
867	2442	371
868	2445	368
869	2447	365
870	2449	362
871	2452	359
872	2454	357
873	2457	354
874	2459	351
875	2462	348
876	2464	345
877	2469	343
878	2473	340
879	2479	338
880	2483	335
881	2486	332
882	2489	329
883	2491	326
884	2494	324
885	2496	321
886	2498	318
887	2501	315
888	2504	312
889	2507	309
890	2509	306
891	2511	304
892	2514	301
893	2516	298
894	2519	295
895	2525	293
896	2531	290
897	2536	288
898	2538	285
899	2541	282
900	2543	279
901	2546	276
902	2550	273
903	2553	271
904	2555	268
905	2558	265
906	2560	262
907	2563	259
908	2566	256
909	2568	254
910	2571	251
911	2573	248
912	2576	245
913	2578	242
914	2581	239
915	2584	236
916	2586	234
917	2588	231
918	2591	228
919	2593	225
920	2596	222
921	2599	219
922	2601	217
923	2603	214
924	2606	211
925	2608	208
926	2612	205
927	2614	202
928	2617	200
929	2619	197
930	2622	194
931	2624	191
932	2627	188
933	2630	185
934	2632	183
935	2635	180
936	2638	177
937	2640	174
938	2643	171
939	2645	168
940	2648	166
941	2650	163
942	2653	160
943	2656	157
944	2659	154
945	2661	151
946	2664	149
947	2666	146
948	2669	143
949	2672	140
950	2674	137
951	2677	134
952	2679	132
953	2682	129
954	2684	126
955	2688	123
956	2690	120
957	2693	118
958	2696	115
959	2698	112
960	2700	109
961	2703	106
962	2705	103
963	2708	101
964	2710	98
965	2713	95
966	2715	92
967	2718	89
968	2721	87
969	2726	84
970	2729	81
971	2732	78
972	2734	75
973	2737	73
974	2739	70
975	2741	67
976	2744	64
977	2746	61
978	2750	58
979	2752	56
980	2754	53
981	2757	50
982	2759	47
983	2762	44
984	2765	42
985	2767	39
986	2770	36
987	2772	33
988	2774	30
989	2777	28
990	2780	25
991	2783	22
992	2785	19
993	2787	16
994	2790	14
995	2792	11
996	2795	8
997	2797	5
998	2800	2
999	2802	0
